category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0002331	1	0.973711173408748	0	3	pre-B cell allelic exclusion	BP	1	1
GO:0002332	1	0.983773178343578	0	2	transitional stage B cell differentiation	BP	1	1
GO:0002333	1	0.991158472939776	0	1	transitional one stage B cell differentiation	BP	1	1
GO:0002334	1	0.992549379127953	0	1	transitional two stage B cell differentiation	BP	1	1
GO:0002336	1	0.991709335619013	0	1	B-1 B cell lineage commitment	BP	1	1
GO:0002337	1	0.97370731197308	0	3	B-1a B cell differentiation	BP	1	1
GO:0002339	1	0.964134297773527	0	5	B cell selection	BP	1	1
GO:0002343	1	0.976523769961817	0	3	peripheral B cell selection	BP	1	1
GO:0002344	1	0.976523769961817	0	3	B cell affinity maturation	BP	1	1
GO:0002347	1	0.724562284450333	0	45	response to tumor cell	BP	1	1
GO:0002349	1	0.933264562311262	0	11	histamine production involved in inflammatory response	BP	1	1
GO:0002351	1	0.97555584618691	0	4	serotonin production involved in inflammatory response	BP	1	1
GO:0002352	1	0.987315193802286	0	2	B cell negative selection	BP	1	1
GO:0002353	1	0.978208166015764	0	3	plasma kallikrein-kinin cascade	BP	1	1
GO:0002355	1	0.995598431011102	0	1	detection of tumor cell	BP	1	1
GO:0002357	1	0.913206711048687	0	12	defense response to tumor cell	BP	1	1
GO:0002358	1	0.985875779881065	0	2	B cell homeostatic proliferation	BP	1	1
GO:0002362	1	0.991250672624392	0	1	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment	BP	1	1
GO:0002364	1	0.991250672624392	0	1	NK T cell lineage commitment	BP	1	1
GO:0002367	1	0.413057044194464	0	124	cytokine production involved in immune response	BP	1	1
GO:0002369	1	0.778350233624242	0	34	T cell cytokine production	BP	1	1
GO:0002370	1	0.953812476288065	0	7	natural killer cell cytokine production	BP	1	1
GO:0002371	1	0.874336806030487	0	17	dendritic cell cytokine production	BP	1	1
GO:0002372	1	0.9520217055828	0	6	myeloid dendritic cell cytokine production	BP	1	1
GO:0002373	1	0.990439969874418	0	2	plasmacytoid dendritic cell cytokine production	BP	1	1
GO:0002377	1	0.431994364345573	0	124	immunoglobulin production	BP	1	1
GO:0002381	1	0.609565710766962	0	71	immunoglobulin production involved in immunoglobulin-mediated immune response	BP	1	1
GO:0002383	1	0.995501770381543	0	1	immune response in brain or nervous system	BP	1	1
GO:0002384	1	0.995415555365557	0	1	hepatic immune response	BP	1	1
GO:0002385	1	0.868761851827759	0	37	mucosal immune response	BP	1	1
GO:0002387	1	0.983114242185665	0	3	immune response in gut-associated lymphoid tissue	BP	1	1
GO:0002395	1	0.983114242185665	0	3	immune response in nasopharyngeal-associated lymphoid tissue	BP	1	1
GO:0002396	1	0.914231971596693	0	13	MHC protein complex assembly	BP	1	1
GO:0002397	1	0.978638396181807	0	3	MHC class I protein complex assembly	BP	1	1
GO:0002398	1	0.992542775511018	0	1	MHC class Ib protein complex assembly	BP	1	1
GO:0002399	1	0.934199262536624	0	10	MHC class II protein complex assembly	BP	1	1
GO:0002404	1	0.991307042348637	0	1	antigen sampling in mucosal-associated lymphoid tissue	BP	1	1
GO:0002406	1	0.991307042348637	0	1	antigen sampling by M cells in mucosal-associated lymphoid tissue	BP	1	1
GO:0002408	1	0.968859037830109	0	6	myeloid dendritic cell chemotaxis	BP	1	1
GO:0002410	1	0.994301512760591	0	1	plasmacytoid dendritic cell chemotaxis	BP	1	1
GO:0002412	1	0.991307042348637	0	1	antigen transcytosis by M cells in mucosal-associated lymphoid tissue	BP	1	1
GO:0002413	1	0.99280619284816	0	1	tolerance induction to tumor cell	BP	1	1
GO:0002414	1	0.979887087438072	0	3	immunoglobulin transcytosis in epithelial cells	BP	1	1
GO:0002415	1	0.98505126797421	0	2	immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor	BP	1	1
GO:0002418	1	0.826546443073087	0	27	immune response to tumor cell	BP	1	1
GO:0002419	1	0.987663421776706	0	2	T cell mediated cytotoxicity directed against tumor cell target	BP	1	1
GO:0002420	1	0.93144753320884	0	11	natural killer cell mediated cytotoxicity directed against tumor cell target	BP	1	1
GO:0002423	1	0.93144753320884	0	11	natural killer cell mediated immune response to tumor cell	BP	1	1
GO:0002424	1	0.937490543224514	0	9	T cell mediated immune response to tumor cell	BP	1	1
GO:0002426	1	0.993768326804105	0	2	immunoglobulin production in mucosal tissue	BP	1	1
GO:0002428	1	0.919929042598784	0	14	antigen processing and presentation of peptide antigen via MHC class Ib	BP	1	1
GO:0002429	1	0.221210100885304	0	208	immune response-activating cell surface receptor signaling pathway	BP	1	1
GO:0002430	1	0.930569650866781	0	12	complement receptor mediated signaling pathway	BP	1	1
GO:0002431	1	0.862951672550492	0	18	Fc receptor mediated stimulatory signaling pathway	BP	1	1
GO:0002432	1	0.985506932923222	0	2	granuloma formation	BP	1	1
GO:0002433	1	0.919532680745013	0	10	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	BP	1	1
GO:0002434	1	0.965374217312734	0	5	immune complex clearance	BP	1	1
GO:0002436	1	0.989643241097183	0	2	immune complex clearance by monocytes and macrophages	BP	1	1
GO:0002439	1	0.965997554474613	0	6	chronic inflammatory response to antigenic stimulus	BP	1	1
GO:0002440	1	0.181775812252651	0	244	production of molecular mediator of immune response	BP	1	1
GO:0002441	1	0.933264562311262	0	11	histamine secretion involved in inflammatory response	BP	1	1
GO:0002442	1	0.97555584618691	0	4	serotonin secretion involved in inflammatory response	BP	1	1
GO:0002445	1	0.963162028978832	0	6	type II hypersensitivity	BP	1	1
GO:0002446	1	0.743019004872203	0	42	neutrophil mediated immunity	BP	1	1
GO:0002447	1	0.96372649158825	0	6	eosinophil mediated immunity	BP	1	1
GO:0002451	1	0.993023878169599	0	1	peripheral B cell tolerance induction	BP	1	1
GO:0002457	1	0.94433179649908	0	8	T cell antigen processing and presentation	BP	1	1
GO:0002458	1	0.98414759774097	0	2	peripheral T cell tolerance induction	BP	1	1
GO:0002461	1	0.95485018556888	0	6	tolerance induction dependent upon immune response	BP	1	1
GO:0002462	1	0.992616220163254	0	1	tolerance induction to nonself antigen	BP	1	1
GO:0002465	1	0.970249421215553	0	4	peripheral tolerance induction	BP	1	1
GO:0002467	1	0.887158908286076	0	15	germinal center formation	BP	1	1
GO:0002468	1	0.899060766366215	0	16	dendritic cell antigen processing and presentation	BP	1	1
